    Latitude,   Longitude, year, Temperature
51.088,1.768,2017,7.1457
51.173,1.933,2017,7.2766
58.369,8.974,2017,5.283
51.251,2.131,2017,7.5767
51.41,2.191,2017,7.9565
58.278,8.828,2017,5.051
51.41,2.503,2017,6.2648
51.424,2.748,2017,5.7879
51.546,2.603,2017,6.9031
51.587,2.826,2017,6.3811
51.616,3.088,2017,5.7643
51.739,3.148,2017,6.7568
51.757,2.857,2017,7.4364
51.76,2.547,2017,7.8956
51.887,2.474,2017,7.4376
51.908,2.784,2017,7.7956
57.89,7.314,2017,6.398
52.082,2.89,2017,7.8911
52.076,3.118,2017,7.551
51.92,3.141,2017,7.2303
57.943,7.646,2017,6.272
51.957,3.479,2017,6.7979
52.081,3.495,2017,6.956
50.474,1.442,2017,6.822
50.341,1.362,2017,7.545
54,8.107,2017,4.201
50.379,0.739,2017,8.039
54.051,7.967,2017,5.697
54.084,7.833,2017,6.091
50.391,1.065,2017,7.751
53.944,7.399,2017,5.527
50.454,1.274,2017,7.482
54.181,7.43,2017,6.224
50.301,1.192,2017,7.823
50.162,1.043,2017,6.96
58.396,8.763,2017,5.106
58.382,8.834,2017,5.515
58.331,8.878,2017,5.472
54.249,8.1,2017,4.181
58.264,8.984,2017,4.663
58.196,9.089,2017,4.897
54.224,8.383,2017,2.792
58.134,9.183,2017,5.078
54.5,8.201,2017,2.931
58,9.351,2017,5.379
57.933,9.451,2017,5.464
57.848,9.569,2017,5.793
57.8,9.666,2017,6.155
50.116,0.636,2017,8.721
57.7,9.787,2017,6.471
57.643,9.856,2017,6.896
54.416,7.585,2017,4.82
57.85,7.486,2017,6.602
54.667,7.501,2017,5.652
57.868,7.643,2017,5.966
54.765,8.118,2017,4.124
50.192,0.338,2017,8.979
58.013,8.183,2017,5.358
50.44,0.336,2017,8.529
58.009,8.273,2017,5.665
50.565,0.693,2017,8.396
57.932,8.482,2017,4.725
55.05,8.201,2017,3.791
55,8,2017,4.982
55,8,2017,4.982
50.528,0.311,2017,8.81
50.615,0.168,2017,8.349
58.121,9.825,2017,5.292
55.001,7.498,2017,5.665
58.077,9.85,2017,5.225
58.09,9.989,2017,5.581
55.284,6.783,2017,6.957
50.369,0.068,2017,9.417
55.001,6.783,2017,6.948
54.685,6.783,2017,6.769
50.641,0.937,2017,7.818
54.335,6.783,2017,5.935
